TIME,DAY,STORES,CONGESTION,OSM_ID,ROAD_LENGTH_M,KMH,CATEGORY
15:45,WEDNESDAY,OPEN,2,374749387,195,36,TERTIARY
15:30,WEDNESDAY,OPEN,1,374749388,36,36,TERTIARY
15:30,WEDNESDAY,OPEN,2,374749389,187,36,TERTIARY
15:30,WEDNESDAY,OPEN,2,374749389,187,36,TERTIARY
15:45,WEDNESDAY,OPEN,1,374749390,135,44,SECONDARY
15:30,WEDNESDAY,OPEN,1,374749394,16,36,TERTIARY
15:00,WEDNESDAY,OPEN,1,377227209,752,50,TRUNK_LINK
15:15,WEDNESDAY,OPEN,1,377291195,137,44,SECONDARY
15:30,WEDNESDAY,OPEN,2,377484802,509,44,SECONDARY
14:15,WEDNESDAY,OPEN,2,377484802,509,44,SECONDARY
15:15,WEDNESDAY,OPEN,2,377484804,265,50,TRUNK_LINK
15:45,WEDNESDAY,OPEN,2,377484807,113,50,TRUNK_LINK
15:30,WEDNESDAY,OPEN,2,377484810,94,44,SECONDARY
21:30,TUESDAY,CLOSING,2,377975293,46,36,TERTIARY
14:45,WEDNESDAY,OPEN,2,380304403,10,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,380764028,448,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,382110359,279,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,382910977,13,44,SECONDARY
16:45,TUESDAY,OPEN,2,383599814,46,50,TRUNK_LINK
15:45,WEDNESDAY,OPEN,2,386237196,125,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,386613406,1013,44,SECONDARY
15:30,WEDNESDAY,OPEN,1,389040401,36,36,TERTIARY
15:00,WEDNESDAY,OPEN,2,390027288,217,36,TERTIARY
15:15,WEDNESDAY,OPEN,2,390027288,217,36,TERTIARY
15:15,WEDNESDAY,OPEN,2,394642759,329,80,TRUNK
15:45,WEDNESDAY,OPEN,2,394642761,115,50,TRUNK_LINK
15:15,WEDNESDAY,OPEN,2,394642763,280,80,TRUNK
15:15,WEDNESDAY,OPEN,2,394642765,89,50,TRUNK_LINK
15:45,WEDNESDAY,OPEN,2,394642766,219,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,394642767,201,50,TRUNK_LINK
15:15,WEDNESDAY,OPEN,2,394642768,185,50,TRUNK_LINK
15:15,WEDNESDAY,OPEN,2,395269206,61,50,TRUNK_LINK
14:45,WEDNESDAY,OPEN,2,401314474,57,44,SECONDARY
14:45,WEDNESDAY,OPEN,2,401315599,22,44,SECONDARY
14:15,WEDNESDAY,OPEN,1,401315600,41,44,SECONDARY
15:45,WEDNESDAY,OPEN,1,401315601,49,44,SECONDARY
15:30,WEDNESDAY,OPEN,2,401315602,247,44,SECONDARY
15:30,WEDNESDAY,OPEN,2,404461227,120,36,TERTIARY
15:00,WEDNESDAY,OPEN,2,409756217,1007,44,SECONDARY
15:30,WEDNESDAY,OPEN,2,409756218,232,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,410318755,306,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,411673154,260,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,411673155,296,44,SECONDARY
15:15,WEDNESDAY,OPEN,1,412034349,12,36,TERTIARY
15:30,WEDNESDAY,OPEN,1,412034350,98,36,TERTIARY
15:30,WEDNESDAY,OPEN,1,412046196,43,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,412046197,661,49,PRIMARY
15:15,WEDNESDAY,OPEN,1,412046199,178,44,SECONDARY
15:15,WEDNESDAY,OPEN,2,412046199,178,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,412046206,2216,49,PRIMARY
15:30,WEDNESDAY,OPEN,2,412046217,216,44,SECONDARY
15:30,WEDNESDAY,OPEN,2,412046217,216,44,SECONDARY
13:30,WEDNESDAY,OPEN,2,412046224,378,36,TERTIARY
15:30,WEDNESDAY,OPEN,2,412046224,378,36,TERTIARY
15:15,WEDNESDAY,OPEN,2,412046226,256,44,SECONDARY
15:45,WEDNESDAY,OPEN,1,412046226,256,44,SECONDARY
15:45,WEDNESDAY,OPEN,1,412149282,109,44,SECONDARY
15:00,WEDNESDAY,OPEN,2,412149282,109,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,412149283,75,36,TERTIARY
15:00,WEDNESDAY,OPEN,1,413856560,98,50,TRUNK_LINK
15:45,WEDNESDAY,OPEN,2,413865784,114,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,415527206,81,80,TRUNK
15:45,WEDNESDAY,OPEN,2,419865031,140,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,420475208,29,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,420475212,88,47,PRIMARY_LINK
15:45,WEDNESDAY,OPEN,2,423654977,54,47,PRIMARY_LINK
15:45,WEDNESDAY,OPEN,2,423654979,42,44,SECONDARY
15:30,WEDNESDAY,OPEN,2,423654980,69,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,423654981,176,44,SECONDARY
13:30,WEDNESDAY,OPEN,2,423654985,42,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,423654986,28,36,TERTIARY
07:00,WEDNESDAY,CLOSED,2,423654987,100,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,424923754,13,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,424923768,218,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,425163711,32,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,425163725,133,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,425163725,133,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,425753663,13,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,425753664,313,49,PRIMARY
15:30,WEDNESDAY,OPEN,2,430600328,235,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,430600328,235,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,433112668,273,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,433112670,140,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,433270625,40,47,PRIMARY_LINK
15:45,WEDNESDAY,OPEN,1,437436880,23,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,437436885,213,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,437436892,85,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,437562433,228,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,439002527,401,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,439002527,401,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,442167476,107,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,446270256,31,49,PRIMARY
15:00,WEDNESDAY,OPEN,2,455248506,71,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,455248507,109,44,SECONDARY
15:45,WEDNESDAY,OPEN,1,455248511,10,44,SECONDARY
15:30,WEDNESDAY,OPEN,2,455248512,253,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,455248513,150,50,TRUNK_LINK
15:45,WEDNESDAY,OPEN,2,455248888,77,44,SECONDARY
15:15,WEDNESDAY,OPEN,2,455250074,881,36,TERTIARY
14:45,WEDNESDAY,OPEN,2,455250074,881,36,TERTIARY
10:00,WEDNESDAY,OPEN,2,455250077,17,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,455252384,455,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,455252384,455,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,457049062,402,44,SECONDARY
11:45,WEDNESDAY,OPEN,2,461494127,76,36,TERTIARY
15:15,WEDNESDAY,OPEN,2,469583060,46,44,SECONDARY
15:30,WEDNESDAY,OPEN,2,469583062,10,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,469583063,163,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,469583068,122,80,TRUNK
15:30,WEDNESDAY,OPEN,2,469583070,386,80,TRUNK
15:45,WEDNESDAY,OPEN,2,469583452,246,80,TRUNK
15:45,WEDNESDAY,OPEN,2,469584306,500,80,TRUNK
15:00,WEDNESDAY,OPEN,2,469584307,15,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,469584309,192,80,TRUNK
15:45,WEDNESDAY,OPEN,2,469586084,83,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,469586088,197,44,SECONDARY
14:30,WEDNESDAY,OPEN,2,469586089,245,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,469586089,245,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,469587922,206,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,469652972,346,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,469652975,334,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,469660078,534,44,SECONDARY
15:45,WEDNESDAY,OPEN,1,469660082,1030,44,SECONDARY
15:45,WEDNESDAY,OPEN,1,469686928,192,36,TERTIARY
15:30,WEDNESDAY,OPEN,2,469686929,53,36,TERTIARY
12:30,WEDNESDAY,OPEN,1,469686931,7,36,TERTIARY
13:45,WEDNESDAY,OPEN,2,469691789,123,44,SECONDARY
14:15,WEDNESDAY,OPEN,2,469691789,123,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,469693218,184,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,471950482,141,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,475046470,61,44,SECONDARY
15:15,WEDNESDAY,OPEN,2,475046471,27,44,SECONDARY
15:30,WEDNESDAY,OPEN,2,475046479,40,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,475316072,31,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,475908222,148,44,SECONDARY
15:45,WEDNESDAY,OPEN,1,475908222,148,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,477545083,15,44,SECONDARY
13:30,WEDNESDAY,OPEN,2,477545084,26,44,SECONDARY
13:45,WEDNESDAY,OPEN,1,477545085,30,44,SECONDARY
15:45,WEDNESDAY,OPEN,1,477822230,17,36,TERTIARY
14:45,WEDNESDAY,OPEN,1,477822234,89,36,TERTIARY
14:30,WEDNESDAY,OPEN,2,477826804,99,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,477833659,56,44,SECONDARY
10:15,WEDNESDAY,OPEN,2,477833660,34,44,SECONDARY
08:00,WEDNESDAY,OPENING,1,477833661,52,44,SECONDARY
15:00,WEDNESDAY,OPEN,2,477833662,70,44,SECONDARY
12:15,WEDNESDAY,OPEN,2,477833662,70,44,SECONDARY
15:00,WEDNESDAY,OPEN,2,477977956,134,44,SECONDARY
15:30,WEDNESDAY,OPEN,2,477977956,134,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,478250320,73,49,PRIMARY
15:30,WEDNESDAY,OPEN,2,478667432,35,44,SECONDARY
15:45,WEDNESDAY,OPEN,1,478667437,25,49,PRIMARY
10:15,WEDNESDAY,OPEN,1,478712624,104,44,SECONDARY
15:15,WEDNESDAY,OPEN,1,478712624,104,44,SECONDARY
15:45,WEDNESDAY,OPEN,1,478712625,67,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,478712627,90,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,478712633,206,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,478712636,30,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,478712638,8,44,SECONDARY
14:30,WEDNESDAY,OPEN,1,479185454,23,44,SECONDARY
15:45,WEDNESDAY,OPEN,1,487171199,11,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,487171200,73,44,SECONDARY
15:45,WEDNESDAY,OPEN,1,487171201,77,44,SECONDARY
15:00,WEDNESDAY,OPEN,2,487171205,14,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,487171209,235,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,487171210,62,49,PRIMARY
15:15,WEDNESDAY,OPEN,2,487171211,14,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,487171215,22,44,SECONDARY
14:30,WEDNESDAY,OPEN,1,487171217,10,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,487463679,21,36,TERTIARY
15:45,WEDNESDAY,OPEN,1,487463680,52,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,492852769,223,49,PRIMARY
15:45,WEDNESDAY,OPEN,2,500805736,63,44,SECONDARY
15:15,WEDNESDAY,OPEN,2,500805748,41,44,SECONDARY
10:30,WEDNESDAY,OPEN,2,506049296,25,44,SECONDARY
22:00,TUESDAY,CLOSING,2,506049296,25,44,SECONDARY
12:00,WEDNESDAY,OPEN,1,516378806,75,44,SECONDARY
14:15,WEDNESDAY,OPEN,1,516378806,75,44,SECONDARY
14:15,WEDNESDAY,OPEN,1,530383068,329,36,TERTIARY
10:45,WEDNESDAY,OPEN,2,530383068,329,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,530424377,66,80,TRUNK
15:45,WEDNESDAY,OPEN,2,541648203,408,44,SECONDARY
15:45,WEDNESDAY,OPEN,2,546691985,297,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,549418831,184,36,TERTIARY
15:45,WEDNESDAY,OPEN,2,549418832,196,36,TERTIARY
03:45,WEDNESDAY,CLOSED,2,552413740,51,36,TERTIARY
14:45,WEDNESDAY,OPEN,2,552413740,51,36,TERTIARY
